LSOA11CD,population
E01012706,1540
E01012707,1341
E01012708,1249
E01012709,1607
E01012710,1254
E01012711,1519
E01012712,1642
E01012713,1821
E01012714,2180
E01012715,1506
E01012716,1322
E01012717,1686
E01012718,1573
E01012719,1465
E01012720,1786
E01012721,1741
E01012722,1126
E01012723,1349
E01012724,1645
E01012725,1453
E01012726,1669
E01012727,1618
E01012728,1492
E01012729,1571
E01012730,1953
E01012731,1512
E01012732,1851
E01012733,1030
E01012734,1435
E01012735,1276
E01012736,1616
E01012737,1324
E01012738,1410
E01012739,1380
E01012740,1492
E01012741,1447
E01012742,1243
E01012743,1791
E01012744,1647
E01012745,1671
E01012746,1643
E01012747,1511
E01012748,1826
E01012749,1615
E01012750,1740
E01012751,1637
E01012752,1336
E01012753,1171
E01012754,1233
E01012755,1459
E01012756,1506
E01012757,1404
E01012758,1551
E01012759,1754
E01012760,1500
E01012761,1954
E01012762,1413
E01012763,1836
E01012764,1130
E01012765,1394
E01012766,1340
E01012767,1591
E01012768,1247
E01012769,1293
E01012770,1555
E01012771,1579
E01012772,1499
E01012773,1518
E01012774,1504
E01012775,1644
E01012776,1415
E01012777,1588
E01012778,1396
E01012779,1318
E01012780,1767
E01012781,1271
E01012782,1413
E01012783,1303
E01012784,2002
E01012785,1303
E01012786,1276
E01012787,1467
E01012788,1461
E01012789,1274
E01012790,1325
E01012791,1636
E01012792,1501
E01012793,1433
E01012794,1435
E01012795,2056
E01012796,1147
E01012797,1264
E01012798,1695
E01012799,1286
E01012800,1414
E01012801,1392
E01012802,1287
E01012803,1287
E01012804,1674
E01012805,1438
E01012806,1484
E01012807,1334
E01012808,1733
E01012809,1759
E01012810,1840
E01012811,1588
E01012812,1301
E01012813,1546
E01012814,1481
E01012815,1467
E01012816,1443
E01012817,1500
E01012818,1203
E01012819,1386
E01012820,1320
E01012821,2012
E01012822,1576
E01012824,2010
E01012825,1412
E01012827,1649
E01012828,1467
E01012829,1812
E01012830,1365
E01012832,1993
E01012833,1575
E01012834,1759
E01012835,1056
E01012836,1449
E01012837,1567
E01012838,1701
E01012839,1373
E01012840,1549
E01012841,1553
E01012842,1513
E01012843,1732
E01012844,1318
E01012845,1493
E01012846,1399
E01012847,1272
E01012848,1719
E01012849,1525
E01012850,1917
E01012852,1834
E01012854,2183
E01012855,2184
E01012856,1774
E01012857,2017
E01012858,2250
E01012859,1839
E01012860,2460
E01012862,1478
E01012863,2470
E01012864,1826
E01012865,1453
E01012866,1924
E01012867,1840
E01012868,2322
E01012869,1801
E01012870,1989
E01012871,1908
E01012872,1907
E01012873,1473
E01012874,1503
E01012875,1680
E01012876,1670
E01012877,1582
E01012878,1825
E01012879,1446
E01012880,1825
E01012881,1499
E01012882,1523
E01012883,1498
E01012884,1959
E01012886,1582
E01012887,1434
E01012888,1706
E01012889,1674
E01012891,2588
E01012892,2129
E01012893,1748
E01012894,2179
E01012896,1857
E01012898,1656
E01012899,1479
E01012900,1672
E01012901,1458
E01012902,1562
E01012903,1658
E01012904,1271
E01012905,1337
E01012906,1549
E01012907,1478
E01012908,1097
